"","x"
"1088","AL353593.3"
"1089","AL670729.3"
"1090","AL670729.2"
"1091","AL670729.1"
"1092","AL139288.1"
"1093","HIST3H3"
"1094","HIST3H2A"
"1095","HIST3H2BB"
"1096","AL162595.2"
"1097","TMEM78"
"1098","AL162595.1"
"1099","SPHAR"
"1100","AL117350.1"
"1101","AL160004.1"
"1102","AL121990.1"
"1103","AL136988.2"
"1104","AL136988.1"
"1105","AL133516.1"
"1106","AL158214.2"
"1107","AL512328.1"
"1108","AL118511.2"
"1109","AL118511.1"
"1110","AL118511.4"
"1111","AL118511.3"
"1112","AL109810.2"
"1113","AL445524.1"
"1114","AL136171.2"
"1115","DISC1-IT1"
"1116","AL353052.1"
"1117","AL353052.2"
"1118","LINC01745"
"1119","AL122003.2"
"1120","AL360006.1"
"1121","AL357972.1"
"1122","AL663058.2"
"1123","AL713868.1"
"1124","AL122008.3"
"1125","AL122008.1"
"1126","AL122008.4"
"1127","AL355472.2"
"1128","AL355472.3"
"1129","AL161640.2"
"1130","AL161640.3"
"1131","AL161640.1"
"1132","AL160408.2"
"1133","AL160408.5"
"1134","AL160408.1"
"1135","AL160408.4"
"1136","AL160408.3"
"1137","AL160408.6"
"1138","AL360294.1"
"1139","AL391832.4"
"1140","AL391832.1"
"1141","AL391832.2"
"1142","AL391832.3"
"1143","AL732292.2"
"1144","AL357556.4"
"1145","TBCE.1"
"1146","AL139161.1"
"1147","AL122018.2"
"1148","AL359921.2"
"1149","AL359921.1"
"1150","MT1HL1"
"1151","AL359259.1"
"1152","AL359924.1"
"1153","MTRNR2L11"
"1154","AL356010.2"
"1155","AL359551.1"
"1156","AL583825.1"
"1157","AC093426.2"
"1158","AC093426.1"
"1159","CHRM3-AS1"
"1160","AL356361.2"
"1161","AL356361.3"
"1162","AL359918.2"
"1163","AL590490.1"
"1164","AL358176.1"
"1165","AL358176.4"
"1166","AL365184.2"
"1167","AL365184.1"
"1168","AL359764.1"
"1169","AL359764.2"
"1170","AL359764.3"
"1171","AL133390.1"
"1172","BECN2"
"1173","AL591686.2"
"1174","AL591686.1"
"1175","AL606534.3"
"1176","AL606534.1"
"1177","AL606534.2"
"1178","AL591721.1"
"1179","AL662889.1"
"1180","AKT3-IT1"
"1181","AL590483.1"
"1182","AL590483.4"
"1183","AL590483.2"
"1184","AL358177.1"
"1185","AL645465.1"
"1186","ADSS"
"1187","AL451007.3"
"1188","AL451007.2"
"1189","BX323046.2"
"1190","BX323046.1"
"1191","AL356512.1"
"1192","AC104462.2"
"1193","AC104462.1"
"1194","AC118555.1"
"1195","AC092801.1"
"1196","SMYD3-IT1"
"1197","LINC01743"
"1198","AL591623.1"
"1199","AL591848.3"
"1200","AL591848.2"
"1201","AL591848.4"
"1202","AL627095.2"
"1203","C1orf229"
"1204","AL390728.6"
"1205","AL390728.5"
"1206","AC104335.1"
"1207","AC104335.2"
"1208","OR2B11"
"1209","GCSAML-AS1"
"1210","AL606804.1"
"1211","OR2G2"
"1212","OR2G3"
"1213","AL390860.1"
"1214","OR13G1"
"1215","OR14K1"
"1216","OR1C1"
"1217","OR11L1"
"1218","OR2W3"
"1219","OR2AK2"
"1220","OR2L13"
"1221","OR2M5"
"1222","OR2M2"
"1223","OR2M3"
"1224","OR2M4"
"1225","OR2T33"
"1226","OR2M7"
"1227","OR14C36"
"1228","OR2T4"
"1229","OR2T6"
"1230","OR2T1"
"1231","AC138089.1"
"1232","OR2T5"
"1233","AC098483.1"
"1234","OR2T27"
"1235","OR14I1"
"1236","AL672291.1"
"1237","AC079779.1"
"1238","AC079779.2"
"1239","AC079779.3"
"1240","AC079779.4"
"1241","AC105393.2"
"1242","AC105393.1"
"1243","LINC01874"
"1244","AC093326.2"
"1245","LINC01875"
"1246","AC093326.1"
"1247","AC092159.2"
